True_k,Replication,Separation,N_Samples,N_Features,Method,Criterion,Candidate_Range,Estimated_k,Exact_Match,Signed_Bias,ARI_at_Estimated_k
2,0,6.0,800,2,K-Means,Silhouette,2-12,2,1,0,0.9900125003128916
2,0,6.0,800,2,K-Means,Davies-Bouldin,2-12,2,1,0,0.9900125003128916
2,0,6.0,800,2,K-Means,Calinski-Harabasz,2-12,2,1,0,0.9900125003128916
2,0,6.0,800,2,GMM,BIC,2-12,2,1,0,0.9850375245509264
2,0,6.0,800,2,GMM,AIC,2-12,2,1,0,0.9850375245509264
2,0,6.0,800,2,GMM,ICL,2-12,2,1,0,0.9850375245509264
2,0,6.0,800,2,GMM,BIC_Neff,2-12,2,1,0,0.9850375245509264
2,0,6.0,800,2,HMM,BIC,2-12,2,1,0,0.9900125003128916
2,0,6.0,800,2,HMM,AIC,2-12,2,1,0,0.9900125003128916
2,0,6.0,800,2,HMM,ICL,2-12,2,1,0,0.9900125003128916
2,0,6.0,800,2,K-Means,Gap (uniform),1-6,2,1,0,0.9900125003128916
2,0,6.0,800,2,K-Means,Prediction Strength,1-6,2,1,0,0.9900125003128916
2,1,6.0,800,2,K-Means,Silhouette,2-12,2,1,0,0.9900125
2,1,6.0,800,2,K-Means,Davies-Bouldin,2-12,2,1,0,0.9900125
2,1,6.0,800,2,K-Means,Calinski-Harabasz,2-12,2,1,0,0.9900125
2,1,6.0,800,2,GMM,BIC,2-12,2,1,0,0.9900125
2,1,6.0,800,2,GMM,AIC,2-12,2,1,0,0.9900125
2,1,6.0,800,2,GMM,ICL,2-12,2,1,0,0.9900125
2,1,6.0,800,2,GMM,BIC_Neff,2-12,2,1,0,0.9900125
2,1,6.0,800,2,HMM,BIC,2-12,2,1,0,0.9900125
2,1,6.0,800,2,HMM,AIC,2-12,2,1,0,0.9900125
2,1,6.0,800,2,HMM,ICL,2-12,2,1,0,0.9900125
2,1,6.0,800,2,K-Means,Gap (uniform),1-6,2,1,0,0.9900125
2,1,6.0,800,2,K-Means,Prediction Strength,1-6,2,1,0,0.9900125
2,2,6.0,800,2,K-Means,Silhouette,2-12,2,1,0,1.0
2,2,6.0,800,2,K-Means,Davies-Bouldin,2-12,2,1,0,1.0
2,2,6.0,800,2,K-Means,Calinski-Harabasz,2-12,2,1,0,1.0
2,2,6.0,800,2,GMM,BIC,2-12,2,1,0,1.0
2,2,6.0,800,2,GMM,AIC,2-12,2,1,0,1.0
2,2,6.0,800,2,GMM,ICL,2-12,2,1,0,1.0
2,2,6.0,800,2,GMM,BIC_Neff,2-12,2,1,0,1.0
2,2,6.0,800,2,HMM,BIC,2-12,2,1,0,1.0
2,2,6.0,800,2,HMM,AIC,2-12,2,1,0,1.0
2,2,6.0,800,2,HMM,ICL,2-12,2,1,0,1.0
2,2,6.0,800,2,K-Means,Gap (uniform),1-6,2,1,0,1.0
2,2,6.0,800,2,K-Means,Prediction Strength,1-6,2,1,0,1.0
2,3,6.0,800,2,K-Means,Silhouette,2-12,2,1,0,0.9949999922070802
2,3,6.0,800,2,K-Means,Davies-Bouldin,2-12,2,1,0,0.9949999922070802
2,3,6.0,800,2,K-Means,Calinski-Harabasz,2-12,2,1,0,0.9949999922070802
2,3,6.0,800,2,GMM,BIC,2-12,2,1,0,0.9900125003128916
2,3,6.0,800,2,GMM,AIC,2-12,3,0,1,0.7421207767381807
2,3,6.0,800,2,GMM,ICL,2-12,2,1,0,0.9900125003128916
2,3,6.0,800,2,GMM,BIC_Neff,2-12,2,1,0,0.9900125003128916
2,3,6.0,800,2,HMM,BIC,2-12,3,0,1,0.9554671030537856
2,3,6.0,800,2,HMM,AIC,2-12,4,0,2,0.9087697706588418
2,3,6.0,800,2,HMM,ICL,2-12,4,0,2,0.9087697706588418
2,3,6.0,800,2,K-Means,Gap (uniform),1-6,2,1,0,0.9949999922070802
2,3,6.0,800,2,K-Means,Prediction Strength,1-6,2,1,0,0.9949999922070802
2,4,6.0,800,2,K-Means,Silhouette,2-12,2,1,0,1.0
2,4,6.0,800,2,K-Means,Davies-Bouldin,2-12,2,1,0,1.0
2,4,6.0,800,2,K-Means,Calinski-Harabasz,2-12,2,1,0,1.0
2,4,6.0,800,2,GMM,BIC,2-12,2,1,0,1.0
2,4,6.0,800,2,GMM,AIC,2-12,2,1,0,1.0
2,4,6.0,800,2,GMM,ICL,2-12,2,1,0,1.0
2,4,6.0,800,2,GMM,BIC_Neff,2-12,2,1,0,1.0
2,4,6.0,800,2,HMM,BIC,2-12,3,0,1,0.785774532797701
2,4,6.0,800,2,HMM,AIC,2-12,3,0,1,0.785774532797701
2,4,6.0,800,2,HMM,ICL,2-12,4,0,2,0.9470364689735499
2,4,6.0,800,2,K-Means,Gap (uniform),1-6,2,1,0,1.0
2,4,6.0,800,2,K-Means,Prediction Strength,1-6,2,1,0,1.0
2,5,6.0,800,2,K-Means,Silhouette,2-12,2,1,0,0.9900125003128916
2,5,6.0,800,2,K-Means,Davies-Bouldin,2-12,2,1,0,0.9900125003128916
2,5,6.0,800,2,K-Means,Calinski-Harabasz,2-12,2,1,0,0.9900125003128916
