k_star,persistence,replication,reference,k,gap,se,log_w,argmax_is_1
2,0.9,0,uniform,1,1.3721947840254636,0.015926516558252106,5.263461332325127,1
2,0.9,0,uniform,2,0.9465461858110578,0.018950434355669576,4.302716431437934,1
2,0.9,0,uniform,3,0.7919234675335707,0.016801649523159892,3.6428439189015736,1
2,0.9,0,uniform,4,0.719130787361216,0.019197795461771743,3.1436537091942385,1
2,0.9,0,uniform,5,0.6934839271568447,0.02144442681064059,2.719481499471778,1
2,0.9,0,uniform,6,0.6803726835457766,0.02164219903346431,2.3645600103322835,1
2,0.9,0,gaussian,1,0.003075494941861656,0.026002121656370364,5.263461332325127,0
2,0.9,0,gaussian,2,-0.06855049608202712,0.051551310769808935,4.302716431437934,0
2,0.9,0,gaussian,3,-0.033577464900666154,0.037978111821928354,3.6428439189015736,0
2,0.9,0,gaussian,4,-0.030865279251947708,0.040280967049532865,3.1436537091942385,0
2,0.9,0,gaussian,5,-0.006400893173771571,0.05420551782984336,2.719481499471778,0
2,0.9,0,gaussian,6,0.05187976496406943,0.05588106008348862,2.3645600103322835,0
2,0.9,0,lognormal,1,-0.054767048010827324,0.040240823514562575,5.263461332325127,0
2,0.9,0,lognormal,2,-0.10283947881853983,0.07280212218209363,4.302716431437934,0
2,0.9,0,lognormal,3,-0.053618414046140206,0.07060263822395389,3.6428439189015736,0
2,0.9,0,lognormal,4,-0.05525304813394838,0.06233463215684333,3.1436537091942385,0
2,0.9,0,lognormal,5,-0.03721077139435236,0.09137603412983798,2.719481499471778,0
2,0.9,0,lognormal,6,0.03998890711830194,0.0954398022133845,2.3645600103322835,0
2,0.9,1,uniform,1,1.2540949101297274,0.01965502216524885,4.930006447948607,1
2,0.9,1,uniform,2,0.8715331536521238,0.01800818531937618,3.9289240589837724,1
2,0.9,1,uniform,3,0.7462406681817249,0.014587555668041916,3.236803532754167,1
2,0.9,1,uniform,4,0.6737840917067035,0.02074355458557861,2.7291683591844658,1
2,0.9,1,uniform,5,0.6422060816308681,0.021674284953529674,2.320084751035364,1
2,0.9,1,uniform,6,0.5538747073499874,0.019675981147000005,2.032136687046433,1
2,0.9,1,gaussian,1,-0.009766733052273935,0.037850777603358664,4.930006447948607,0
2,0.9,1,gaussian,2,0.00017474411489093455,0.04076277199612011,3.9289240589837724,0
2,0.9,1,gaussian,3,0.03780081591856321,0.04426521289840573,3.236803532754167,0
2,0.9,1,gaussian,4,0.04200376188237609,0.04325960520908964,2.7291683591844658,0
2,0.9,1,gaussian,5,0.07456999802364495,0.0699345836689463,2.320084751035364,0
