k_star,persistence,replication,criterion,k_hat,exact_match,signed_bias,selected_k1
1,,0,Gap (uniform),1,1,0,1
1,,0,Gap (gaussian),1,1,0,1
1,,0,Gap (lognormal),1,1,0,1
1,,0,Prediction Strength,4,0,3,0
1,,1,Gap (uniform),1,1,0,1
1,,1,Gap (gaussian),1,1,0,1
1,,1,Gap (lognormal),1,1,0,1
1,,1,Prediction Strength,3,0,2,0
1,,2,Gap (uniform),1,1,0,1
1,,2,Gap (gaussian),1,1,0,1
1,,2,Gap (lognormal),1,1,0,1
1,,2,Prediction Strength,2,0,1,0
1,,3,Gap (uniform),1,1,0,1
1,,3,Gap (gaussian),1,1,0,1
1,,3,Gap (lognormal),1,1,0,1
1,,3,Prediction Strength,2,0,1,0
1,,4,Gap (uniform),1,1,0,1
1,,4,Gap (gaussian),1,1,0,1
1,,4,Gap (lognormal),1,1,0,1
1,,4,Prediction Strength,1,1,0,1
1,,5,Gap (uniform),1,1,0,1
1,,5,Gap (gaussian),1,1,0,1
1,,5,Gap (lognormal),1,1,0,1
1,,5,Prediction Strength,2,0,1,0
1,,6,Gap (uniform),1,1,0,1
1,,6,Gap (gaussian),1,1,0,1
1,,6,Gap (lognormal),1,1,0,1
1,,6,Prediction Strength,1,1,0,1
1,,7,Gap (uniform),1,1,0,1
1,,7,Gap (gaussian),1,1,0,1
1,,7,Gap (lognormal),1,1,0,1
1,,7,Prediction Strength,1,1,0,1
1,,8,Gap (uniform),1,1,0,1
1,,8,Gap (gaussian),1,1,0,1
1,,8,Gap (lognormal),1,1,0,1
1,,8,Prediction Strength,1,1,0,1
1,,9,Gap (uniform),1,1,0,1
1,,9,Gap (gaussian),1,1,0,1
1,,9,Gap (lognormal),1,1,0,1
1,,9,Prediction Strength,1,1,0,1
1,,10,Gap (uniform),1,1,0,1
1,,10,Gap (gaussian),5,0,4,0
1,,10,Gap (lognormal),2,0,1,0
1,,10,Prediction Strength,2,0,1,0
1,,11,Gap (uniform),1,1,0,1
1,,11,Gap (gaussian),1,1,0,1
1,,11,Gap (lognormal),1,1,0,1
1,,11,Prediction Strength,4,0,3,0
1,,12,Gap (uniform),1,1,0,1
1,,12,Gap (gaussian),1,1,0,1
1,,12,Gap (lognormal),1,1,0,1
1,,12,Prediction Strength,1,1,0,1
1,,13,Gap (uniform),1,1,0,1
1,,13,Gap (gaussian),1,1,0,1
1,,13,Gap (lognormal),1,1,0,1
1,,13,Prediction Strength,1,1,0,1
1,,14,Gap (uniform),1,1,0,1
1,,14,Gap (gaussian),1,1,0,1
1,,14,Gap (lognormal),3,0,2,0
1,,14,Prediction Strength,1,1,0,1
1,,15,Gap (uniform),1,1,0,1
1,,15,Gap (gaussian),3,0,2,0
1,,15,Gap (lognormal),3,0,2,0
1,,15,Prediction Strength,2,0,1,0
1,,16,Gap (uniform),1,1,0,1
1,,16,Gap (gaussian),1,1,0,1
1,,16,Gap (lognormal),1,1,0,1
1,,16,Prediction Strength,1,1,0,1
1,,17,Gap (uniform),1,1,0,1
1,,17,Gap (gaussian),3,0,2,0
1,,17,Gap (lognormal),2,0,1,0
1,,17,Prediction Strength,1,1,0,1
1,,18,Gap (uniform),1,1,0,1
1,,18,Gap (gaussian),1,1,0,1
1,,18,Gap (lognormal),1,1,0,1
1,,18,Prediction Strength,1,1,0,1
1,,19,Gap (uniform),1,1,0,1
1,,19,Gap (gaussian),2,0,1,0
1,,19,Gap (lognormal),3,0,2,0
1,,19,Prediction Strength,2,0,1,0
1,,20,Gap (uniform),1,1,0,1
1,,20,Gap (gaussian),3,0,2,0
1,,20,Gap (lognormal),3,0,2,0
1,,20,Prediction Strength,1,1,0,1
1,,21,Gap (uniform),1,1,0,1
1,,21,Gap (gaussian),1,1,0,1
1,,21,Gap (lognormal),1,1,0,1
1,,21,Prediction Strength,1,1,0,1
1,,22,Gap (uniform),1,1,0,1
1,,22,Gap (gaussian),1,1,0,1
1,,22,Gap (lognormal),1,1,0,1
