Condition,Persistent,Skewed,Smoothed,Replication,True_k,Method,Criterion,Estimated_k,Exact_Match,Signed_Bias,ARI_at_Estimated_k,ARI_at_True_k
---,0,0,0,0,3,K-Means,Silhouette,3,1,0,1.0,1.0
---,0,0,0,0,3,K-Means,Davies-Bouldin,3,1,0,1.0,1.0
---,0,0,0,0,3,K-Means,Calinski-Harabasz,12,0,9,0.33879852649426473,1.0
---,0,0,0,0,3,GMM,BIC,3,1,0,1.0,1.0
---,0,0,0,0,3,GMM,AIC,3,1,0,1.0,1.0
---,0,0,0,0,3,GMM,ICL,3,1,0,1.0,1.0
---,0,0,0,0,3,GMM,BIC_Neff,3,1,0,1.0,1.0
---,0,0,0,0,3,HMM,BIC,3,1,0,1.0,1.0
---,0,0,0,0,3,HMM,AIC,3,1,0,1.0,1.0
---,0,0,0,0,3,HMM,ICL,3,1,0,1.0,1.0
---,0,0,0,0,3,K-Means,Gap (uniform),3,1,0,1.0,1.0
---,0,0,0,0,3,K-Means,Prediction Strength,4,0,1,0.8593908973973652,1.0
---,0,0,0,1,3,K-Means,Silhouette,3,1,0,1.0,1.0
---,0,0,0,1,3,K-Means,Davies-Bouldin,3,1,0,1.0,1.0
---,0,0,0,1,3,K-Means,Calinski-Harabasz,12,0,9,0.33955992267032503,1.0
---,0,0,0,1,3,GMM,BIC,3,1,0,1.0,1.0
---,0,0,0,1,3,GMM,AIC,3,1,0,1.0,1.0
---,0,0,0,1,3,GMM,ICL,3,1,0,1.0,1.0
---,0,0,0,1,3,GMM,BIC_Neff,3,1,0,1.0,1.0
---,0,0,0,1,3,HMM,BIC,5,0,2,0.8505602218908598,0.5230995818495526
---,0,0,0,1,3,HMM,AIC,5,0,2,0.8505602218908598,0.5230995818495526
---,0,0,0,1,3,HMM,ICL,5,0,2,0.8505602218908598,0.5230995818495526
---,0,0,0,1,3,K-Means,Gap (uniform),3,1,0,1.0,1.0
---,0,0,0,1,3,K-Means,Prediction Strength,4,0,1,0.8622248078937249,1.0
---,0,0,0,2,3,K-Means,Silhouette,3,1,0,1.0,1.0
---,0,0,0,2,3,K-Means,Davies-Bouldin,3,1,0,1.0,1.0
---,0,0,0,2,3,K-Means,Calinski-Harabasz,12,0,9,0.3546659938108305,1.0
---,0,0,0,2,3,GMM,BIC,3,1,0,1.0,1.0
---,0,0,0,2,3,GMM,AIC,3,1,0,1.0,1.0
---,0,0,0,2,3,GMM,ICL,3,1,0,1.0,1.0
---,0,0,0,2,3,GMM,BIC_Neff,3,1,0,1.0,1.0
---,0,0,0,2,3,HMM,BIC,3,1,0,1.0,1.0
---,0,0,0,2,3,HMM,AIC,3,1,0,1.0,1.0
