Replication,Silhouette_k_hat,BIC_k_hat,Gap_Statistic_k_hat,ARI_vs_VolTercile_at_k3
0,2,2,1,0.1721031778203157
1,2,3,1,0.23826281006325195
2,2,4,1,0.14606647937452913
3,2,5,1,0.2108263973534464
4,2,2,1,0.11950443293597168
5,2,5,1,0.28345804322899665
6,2,3,1,0.10300600461078736
7,2,4,1,0.1824561398563871
8,2,5,1,0.1682666515803263
9,2,3,1,0.11707766071368858
10,2,4,1,0.2057258590920213
11,2,3,1,0.22105654327252092
12,2,4,1,0.1817299704623273
13,2,6,1,0.1768188196421866
14,2,2,1,0.11191333412798779
15,2,3,1,0.1145790876418466
16,2,4,1,0.19570682928363675
17,2,6,1,0.23977254489820732
18,2,5,1,0.18766703973850055
19,3,4,1,0.10693518754781758
20,3,3,1,0.2531094852077052
21,2,3,1,0.21754671825137162
22,2,2,1,0.18575131642464007
23,2,5,1,0.1229569259519368
24,2,6,1,0.23176930161978043
25,2,3,1,0.14523302666559448
26,2,3,1,0.17576772477016314
27,2,6,1,0.15963094688066987
28,2,2,1,0.17106452735409394
29,2,4,1,0.1785032690364416
