Null_Model,Replication,Silhouette_k_hat,BIC_k_hat,Gap_Statistic_k_hat
Null 1: i.i.d. Gaussian,0,2,2,1
Null 1: i.i.d. Gaussian,1,2,2,1
Null 1: i.i.d. Gaussian,2,2,2,1
Null 1: i.i.d. Gaussian,3,2,2,1
Null 1: i.i.d. Gaussian,4,2,2,1
Null 1: i.i.d. Gaussian,5,3,2,1
Null 1: i.i.d. Gaussian,6,2,2,1
Null 1: i.i.d. Gaussian,7,2,2,1
Null 1: i.i.d. Gaussian,8,2,2,1
Null 1: i.i.d. Gaussian,9,2,2,1
Null 1: i.i.d. Gaussian,10,2,2,1
Null 1: i.i.d. Gaussian,11,2,4,1
Null 1: i.i.d. Gaussian,12,2,2,1
Null 1: i.i.d. Gaussian,13,2,2,1
Null 1: i.i.d. Gaussian,14,2,3,1
Null 1: i.i.d. Gaussian,15,2,2,1
Null 1: i.i.d. Gaussian,16,3,3,1
Null 1: i.i.d. Gaussian,17,2,5,1
Null 1: i.i.d. Gaussian,18,2,2,1
Null 1: i.i.d. Gaussian,19,2,2,1
Null 1: i.i.d. Gaussian,20,2,2,1
Null 1: i.i.d. Gaussian,21,2,2,1
Null 1: i.i.d. Gaussian,22,2,2,1
Null 1: i.i.d. Gaussian,23,2,3,1
Null 1: i.i.d. Gaussian,24,2,2,1
Null 1: i.i.d. Gaussian,25,2,2,1
Null 1: i.i.d. Gaussian,26,2,2,1
Null 1: i.i.d. Gaussian,27,2,2,1
Null 1: i.i.d. Gaussian,28,2,2,1
Null 1: i.i.d. Gaussian,29,2,4,1
Null 1: i.i.d. Gaussian,30,2,2,1
Null 1: i.i.d. Gaussian,31,2,2,1
Null 1: i.i.d. Gaussian,32,2,2,1
Null 1: i.i.d. Gaussian,33,2,2,1
Null 1: i.i.d. Gaussian,34,2,2,1
Null 1: i.i.d. Gaussian,35,2,2,1
Null 1: i.i.d. Gaussian,36,2,3,1
Null 1: i.i.d. Gaussian,37,2,6,1
Null 1: i.i.d. Gaussian,38,2,2,1
Null 1: i.i.d. Gaussian,39,2,2,1
Null 1: i.i.d. Gaussian,40,2,2,1
Null 1: i.i.d. Gaussian,41,2,3,1
Null 1: i.i.d. Gaussian,42,2,3,1
Null 1: i.i.d. Gaussian,43,2,2,1
Null 1: i.i.d. Gaussian,44,2,2,1
Null 1: i.i.d. Gaussian,45,2,2,1
Null 1: i.i.d. Gaussian,46,2,2,1
Null 1: i.i.d. Gaussian,47,3,2,1
Null 1: i.i.d. Gaussian,48,2,2,1
Null 1: i.i.d. Gaussian,49,2,3,1
Null 1: i.i.d. Gaussian,50,2,2,1
Null 1: i.i.d. Gaussian,51,2,2,1
Null 1: i.i.d. Gaussian,52,2,2,1
Null 1: i.i.d. Gaussian,53,2,2,1
Null 1: i.i.d. Gaussian,54,2,2,1
Null 1: i.i.d. Gaussian,55,2,2,1
Null 1: i.i.d. Gaussian,56,2,2,1
Null 1: i.i.d. Gaussian,57,2,2,1
Null 1: i.i.d. Gaussian,58,2,5,1
Null 1: i.i.d. Gaussian,59,2,2,1
Null 1: i.i.d. Gaussian,60,2,2,1
Null 1: i.i.d. Gaussian,61,2,2,1
Null 1: i.i.d. Gaussian,62,2,2,1
Null 1: i.i.d. Gaussian,63,2,2,1
Null 1: i.i.d. Gaussian,64,2,2,1
Null 1: i.i.d. Gaussian,65,2,2,1
Null 1: i.i.d. Gaussian,66,2,2,1
Null 1: i.i.d. Gaussian,67,2,2,1
Null 1: i.i.d. Gaussian,68,2,3,1
Null 1: i.i.d. Gaussian,69,2,2,1
Null 1: i.i.d. Gaussian,70,2,2,1
Null 1: i.i.d. Gaussian,71,2,2,1
Null 1: i.i.d. Gaussian,72,2,2,1
Null 1: i.i.d. Gaussian,73,2,2,1
Null 1: i.i.d. Gaussian,74,2,2,1
Null 1: i.i.d. Gaussian,75,2,2,1
Null 1: i.i.d. Gaussian,76,2,2,1
Null 1: i.i.d. Gaussian,77,2,2,1
Null 1: i.i.d. Gaussian,78,2,2,1
Null 1: i.i.d. Gaussian,79,2,2,1
Null 1: i.i.d. Gaussian,80,2,2,1
Null 1: i.i.d. Gaussian,81,2,2,1
Null 1: i.i.d. Gaussian,82,2,2,1
Null 1: i.i.d. Gaussian,83,2,2,1
Null 1: i.i.d. Gaussian,84,2,2,1
Null 1: i.i.d. Gaussian,85,3,2,1
Null 1: i.i.d. Gaussian,86,2,4,1
Null 1: i.i.d. Gaussian,87,2,3,1
Null 1: i.i.d. Gaussian,88,4,3,1
Null 1: i.i.d. Gaussian,89,2,2,1
Null 1: i.i.d. Gaussian,90,2,3,1
Null 1: i.i.d. Gaussian,91,2,2,1
Null 1: i.i.d. Gaussian,92,2,2,1
Null 1: i.i.d. Gaussian,93,2,2,1
Null 1: i.i.d. Gaussian,94,2,2,1
Null 1: i.i.d. Gaussian,95,2,2,1
Null 1: i.i.d. Gaussian,96,2,2,1
Null 1: i.i.d. Gaussian,97,2,2,1
Null 1: i.i.d. Gaussian,98,2,2,1
Null 1: i.i.d. Gaussian,99,2,3,1
Null 1: i.i.d. Gaussian,100,2,2,1
Null 1: i.i.d. Gaussian,101,2,2,1
Null 1: i.i.d. Gaussian,102,2,2,1
Null 1: i.i.d. Gaussian,103,2,2,1
Null 1: i.i.d. Gaussian,104,2,2,1
Null 1: i.i.d. Gaussian,105,2,2,1
Null 1: i.i.d. Gaussian,106,2,2,1
Null 1: i.i.d. Gaussian,107,2,2,1
Null 1: i.i.d. Gaussian,108,2,2,1
Null 1: i.i.d. Gaussian,109,2,2,1
Null 1: i.i.d. Gaussian,110,2,2,1
Null 1: i.i.d. Gaussian,111,2,2,1
Null 1: i.i.d. Gaussian,112,2,2,1
Null 1: i.i.d. Gaussian,113,2,2,1
Null 1: i.i.d. Gaussian,114,2,2,1
Null 1: i.i.d. Gaussian,115,2,2,1
Null 1: i.i.d. Gaussian,116,2,2,1
Null 1: i.i.d. Gaussian,117,2,2,1
Null 1: i.i.d. Gaussian,118,2,2,1
Null 1: i.i.d. Gaussian,119,2,2,1
Null 1: i.i.d. Gaussian,120,2,2,1
Null 1: i.i.d. Gaussian,121,2,2,1
Null 1: i.i.d. Gaussian,122,2,2,1
Null 1: i.i.d. Gaussian,123,2,2,1
Null 1: i.i.d. Gaussian,124,2,2,1
Null 1: i.i.d. Gaussian,125,2,2,1
Null 1: i.i.d. Gaussian,126,2,5,1
Null 1: i.i.d. Gaussian,127,2,2,1
Null 1: i.i.d. Gaussian,128,2,2,1
Null 1: i.i.d. Gaussian,129,2,2,1
Null 1: i.i.d. Gaussian,130,2,2,1
Null 1: i.i.d. Gaussian,131,2,2,1
Null 1: i.i.d. Gaussian,132,2,2,1
Null 1: i.i.d. Gaussian,133,2,2,1
Null 1: i.i.d. Gaussian,134,2,3,1
Null 1: i.i.d. Gaussian,135,2,2,1
Null 1: i.i.d. Gaussian,136,3,2,1
Null 1: i.i.d. Gaussian,137,2,6,1
Null 1: i.i.d. Gaussian,138,2,2,1
Null 1: i.i.d. Gaussian,139,2,2,1
Null 1: i.i.d. Gaussian,140,2,2,1
Null 1: i.i.d. Gaussian,141,2,2,1
Null 1: i.i.d. Gaussian,142,2,2,1
Null 1: i.i.d. Gaussian,143,2,2,1
Null 1: i.i.d. Gaussian,144,2,2,1
Null 1: i.i.d. Gaussian,145,2,2,1
Null 1: i.i.d. Gaussian,146,2,2,1
Null 1: i.i.d. Gaussian,147,2,5,1
Null 1: i.i.d. Gaussian,148,2,2,1
Null 1: i.i.d. Gaussian,149,2,2,1
Null 1: i.i.d. Gaussian,150,2,2,1
Null 1: i.i.d. Gaussian,151,2,2,1
Null 1: i.i.d. Gaussian,152,2,2,1
Null 1: i.i.d. Gaussian,153,2,3,1
Null 1: i.i.d. Gaussian,154,2,2,1
Null 1: i.i.d. Gaussian,155,2,2,1
Null 1: i.i.d. Gaussian,156,3,2,1
Null 1: i.i.d. Gaussian,157,2,2,1
Null 1: i.i.d. Gaussian,158,2,2,1
Null 1: i.i.d. Gaussian,159,2,2,1
Null 1: i.i.d. Gaussian,160,2,2,1
Null 1: i.i.d. Gaussian,161,2,2,1
Null 1: i.i.d. Gaussian,162,2,2,1
Null 1: i.i.d. Gaussian,163,2,2,1
Null 1: i.i.d. Gaussian,164,2,2,1
Null 1: i.i.d. Gaussian,165,2,2,1
Null 1: i.i.d. Gaussian,166,2,2,1
Null 1: i.i.d. Gaussian,167,2,2,1
Null 1: i.i.d. Gaussian,168,2,2,1
Null 1: i.i.d. Gaussian,169,2,2,1
Null 1: i.i.d. Gaussian,170,2,2,1
Null 1: i.i.d. Gaussian,171,2,2,1
Null 1: i.i.d. Gaussian,172,2,2,1
Null 1: i.i.d. Gaussian,173,2,2,1
